region,tested,group,sub_group,weight_class,lift,member_name,kgs,lbs,record_date
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,56kg/123.5lb,Bench,Record Preset,102.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,60kg/132.2lb,Bench,Record Preset,110.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,67.5kg/148.7lb,Bench,Grafov Anton,170.00,374.80,4/21/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,75kg/165.2lb,Bench,Chugurov Sergei,157.50,347.20,4/21/2016
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,82.5kg/181.7lb,Bench,Djozhin Andrei,157.50,347.20,4/21/2016
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,90kg/198.2lb,Bench,Samusenkov Ivan,190.00,418.90,4/21/2016
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,100kg/220lb,Bench,Charles White,207.50,457.50,6/10/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,110kg/242lb,Bench,Karpov Llia,200.00,440.90,4/21/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,125kg/275lb,Bench,Record Preset,172.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,140kg/308.5lb,Bench,Record Preset,177.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 16 TO 17,140+kg/SHW,Bench,Record Preset,182.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,52kg/114.5lb,Bench,Aleksei Kolisnichenko,105.00,231.50,5/26/2018
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,56kg/123.5lb,Bench,Record Preset,102.50,226.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,60kg/132.2lb,Bench,Gagik Sagatelyan,120.00,264.60,6/23/2018
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,67.5kg/148.7lb,Bench,Grafov Anton,170.00,374.80,4/20/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,75kg/165.2lb,Bench,Justin Carpenter,167.50,369.30,6/23/2018
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,82.5kg/181.7lb,Bench,Nazarov Roman,160.00,352.70,8/25/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,90kg/198.2lb,Bench,Eduаrd Ageev,190.00,418.90,8/25/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,100kg/220lb,Bench,Charles White,207.50,457.50,6/10/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,110kg/242lb,Bench,Karpov Llia,200.00,440.90,4/20/2017
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,125kg/275lb,Bench,Vladislav Makushka,190.00,418.90,5/27/2018
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,140kg/308.5lb,Bench,Record Preset,177.50,391.30,10/4/2011
IPL World,Drug Tested,RAW Bench Only,JUNIOR MEN 20 TO 23,140+kg/SHW,Bench,Record Preset,182.50,402.30,10/4/2011
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,52kg/114.5lb,Bench,Ginger Burton,87.50,192.90,11/8/2018
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,56kg/123.5lb,Bench,Gloria Luong,82.50,181.90,6/1/2019
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,60kg/132.2lb,Bench,Dluzhnevskaya Vladislava,102.50,226.00,4/21/2016
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,67.5kg/148.7lb,Bench,Kuznetsova Luliia,107.50,237.00,4/21/2017
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,75kg/165.2lb,Bench,Tiffany Odom,113.00,249.10,7/11/2019
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,82.5kg/181.7lb,Bench,Jeanie Shellman,106.00,233.70,7/11/2019
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,90kg/198.2lb,Bench,Record Preset,97.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,48kg/105.7lb,Bench,Lebedeva Veronika,70.00,154.30,4/21/2016
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,44kg/97lb,Bench,Record Preset,55.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,OPEN WOMEN,90+kg/UNL,Bench,Brandi Sneed,125.00,275.60,7/27/2019
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,52kg/114.5lb,Bench,Konchakova Natalia,67.50,148.80,6/22/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,56kg/123.5lb,Bench,Record Preset,67.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,60kg/132.2lb,Bench,Darla King,77.50,170.90,7/27/2019
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,67.5kg/148.7lb,Bench,Valerie Smith,93.00,205.00,11/8/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,75kg/165.2lb,Bench,Crystal Mccullough,85.50,188.50,11/9/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,82.5kg/181.7lb,Bench,Record Preset,90.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,90kg/198.2lb,Bench,Record Preset,97.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,48kg/105.7lb,Bench,Liliya Kinzhagulova,60.00,132.30,5/25/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,44kg/97lb,Bench,Record Preset,55.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 40 TO 44,90+kg/UNL,Bench,Tania White,107.50,236.90,6/10/2017
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,52kg/114.5lb,Bench,Ginger Burton,87.50,192.90,11/8/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,56kg/123.5lb,Bench,Record Preset,62.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,60kg/132.2lb,Bench,Record Preset,65.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,67.5kg/148.7lb,Bench,Sicily Easley,97.50,215.00,11/8/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,75kg/165.2lb,Bench,Cheryl 'Charlie' Ritchie,95.00,209.40,6/23/2018
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,82.5kg/181.7lb,Bench,Record Preset,85.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,90kg/198.2lb,Bench,Record Preset,90.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,48kg/105.7lb,Bench,Record Preset,55.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,44kg/97lb,Bench,Record Preset,50.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 45 TO 49,90+kg/UNL,Bench,Deb Wade,102.50,226.00,7/11/2019
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 50 TO 54,52kg/114.5lb,Bench,Record Preset,55.00,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 50 TO 54,56kg/123.5lb,Bench,Mary Lissfelt,62.50,137.80,9/28/2019
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 50 TO 54,60kg/132.2lb,Bench,Record Preset,62.50,0.00,10/4/2011
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 50 TO 54,67.5kg/148.7lb,Bench,Sara Jones,75.50,166.40,7/11/2019
IPL World,Drug Tested,RAW Bench Only,MASTER WOMEN 50 TO 54,75kg/165.2lb,Bench,Kristine Kobza,92.50,203.90,11/9/2018
